TenureGroup,用户数,流失率,平均订单数,平均返现
0-6月,1967,0.35027961362480936,2.4743263853584136,158.78820538891713
6-12月,1585,0.09905362776025237,2.6586750788643534,161.47633438485803
12-24月,1574,0.06480304955527319,3.644853875476493,200.7232528589581
24-36月,500,0.0,3.698,225.29074
36月以上,4,0.0,2.0,226.375
